ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Live short-neck clam,China,,"DALIAN HUIFENGYUAN TRADING CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（prometryn 0.02 ppm detection）",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
ROASTED PEANUTS KERNELS WITH SKIN,China,"QINGDAO CHANSEN TRADING CO.,LTD.",,Art.6(ⅱ),"aflatoxin (mycotoxin) 26 μg/kg　（B1:10.1, B2:3.3, G1:10.2 , G2:2.5 )detected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
Dried fig,U.S.A.,VALLEY  FIG GROWERS,,Art.6(ⅱ),"aflatoxin (mycotoxin)  ①131 μg/kg　②28 μg/kg
（①B1:28.1, B2:5.8, G1:77.4, G2:20.1 ②B1:10.5,  B2:2.5,  G1:11.3, G2:3.4)detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
GROUNDNUT KERNELS,China,,"QINGDAO STAR SIGN GROUP CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) ① 132 μg/kg ②19 μg/kg （①B1:117.2,  B2:15.2 , ②B1:14.6, B2:4.1）（monitoring inspection） 15 μg/kg （B1:11.2,  B2:2.2, G1:1.1)（ordered inspection) detected",moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),"monitoring inspection,
ordered inspection",2017-12-11
CACAO POWDER,Belgium(cacao beans origin:Peru ),LA SOURCE SARL,,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
Fresh cacao beans,Peru,,BIO C' BON,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
DRIED FIG,Turkey,T-AGRO ZIRAI URUNLER MAKINE GIDA SAN. TIC. LTD. STI,,Art.6(ⅱ),"aflatoxin (mycotoxin) 735 μg/kg　（B1:219.6, B2:10.4, G1:496.3, G2:8.5) detected",kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
GROUNDNUT KERNELS,China,,"QINGDAO STAR SIGN GROUP CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) 28 μg/kg　（B1:7.3, B2:18.3, G2:2.2) detected",moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
Walnut,U.S.A.,,SKY PACIFIC LIMITED.,Art.6(ⅱ),aflatoxin (mycotoxin) 16 μg/kg　（B1:16) detected,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-11
ASPARAGUS LETTUCE,China,,"SHIJIAZHUANG AODEJIA IMP.&EXP TRADE CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（Dimethomorph 0.04 ppm detection）",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-19
Heated meat products (heat-pasteurized before packed in container-packages)：FROZEN CHICKEN FRANK,Brazil,JBS AVES LTDA,,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-19
Peanuts,China,,"QINGDAO JIAYI PEANUT FOODS CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) 25 μg/kg　（B1:21.1 , B2:4.3) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-19
Dried fruit：PITTED PRUNES,U.S.A.,TAYLOR BROTHERS FARMS,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.65 g/kg detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-19
Frozen food served without heating：COOKED SHRIMP TAIL OFF,Thailand,MARINE GOLD PRODUCTS LTD.,,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-19
CHILLIE POWDER,Sri Lanka,CEYLONWIN NATURAL FOODS,,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（triazophos 0.18 ppm detection）",fukuoka airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-19
Milled rice,Thailand,,"TAI HUA (2511) CO.,LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",kobe,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-19
BLANCHED JUMBO RUNNER PEANUTS-HONEY ROASTED,U.S.A.,TROPHY NUT CO.,,Art.6(ⅱ),"aflatoxin (mycotoxin) ①41 μg/kg　②86 μg/kg
（①B1:38.3, B2:2.8 ②B1:74.8,  B2:11.0) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-19
PEELED SHRIMP,Vietnam,DANANG SEAPRODUCTS IMP. EXP. CORP.,,Art.11(2),violation of compositional standard (enrofloxacin 0.34 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-19
Peanuts,China,,"QINGDAO STAR SIGN GROUP CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) ①85 μg/kg　②63 μg/kg
（①B1:75.9, B2:8.9 ②B1:9.2,  B2:1.6, G1:41.6 , G2:10.1) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-19
Frozen food served after heating(other than those heated immediately before freezing)：EBI FURAI,Vietnam,"QUOC VIET SEAPRODUCTS PROCESSING TRADING AND IMPORT-EXPORT CO.,LTD.",,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-19
Alcoholic beverages：DREAM LINE FORTUNE,Spain,INDUSTRIAS ESPADAFOR S.A.,,Art.11(2),violation of standard of use (use of iron sesquioxide in other than target food),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-19
Alcoholic beverages：DREAM LINE VULCANO,Spain,INDUSTRIAS ESPADAFOR S.A.,,Art.11(2),violation of standard of use (use of iron sesquioxide in other than target food),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-19
Wheat,Australia,,CBH GRAIN PTY LTD,Art.6(ⅰ)　,"generation of mold, nasty smell, decay and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-19
Frozen fresh fish and shellfish for raw comsumption：AGING ATLANTIC SALMON SLICE,Thailand,"THAI UNION GROUP PUBLIC CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-19
Almonds,U.S.A.,,PRIMEX INTERNATIONAL TRADING CORP.,Art.6(ⅱ),"aflatoxin (mycotoxin) 31 μg/kg　（B1:11.5, B2:1.5, G1:16.1, G2:2.3)μg/kgdetected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Frozen food served without heating：FROZEN VEGETABLES,China,"YANTAI SHENHENG FOODSTUFF CO.,LTD.",,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.59 g/kg detection (use of potassium sorbate 5.0 g/kg for TSUYU as raw material)),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-27
Mezcal,Mexico,MEZCAL DE AMOR S.A.P.I. DE C.V.,,Art.6(ⅱ),methanol 1.22 mg/cm³　detection,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-27
Milled rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ)　,generation of mold and nasty smell,yokohama,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-27
Pistachio nuts,U.S.A.,,ANA TRADING CORP U.S.A.,Art.6(ⅱ),"aflatoxin (mycotoxin) 48 μg/kg　（B1:42.7, B2:5.0)μg/kgdetected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN VANNAMEI NOBASHI,Vietnam,MINH PHU SEAFOOD CORP.,,Art.11(2),violation of compositional standard (sulfadiazine 0.08 ppm detection),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Frozen food served after heating(other than those heated immediately before freezing)：PEELED SHRIMP PRODUCT,Vietnam,THANH DOAN SEA PRODUCTS IMP & EXP PROCESSING JOINT-STOCK COMPANY,,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Almonds,Australia,,ALMONDCO AUSTRALIA LIMITED,Art.6(ⅱ),"aflatoxin (mycotoxin) 15 μg/kg　（B1:12.4, B2:2.7)μg/kgdetected",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
FROZEN GUTTED SHIROSABAFUGU,China,,"LONGHAI YUSHENG FOODS CO.,LTD.",Art.6(ⅱ),unfinished disposal of offal,shimonoseki,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-27
Milled rice,Italy,,RISERIA GAZZANI 1648 DI SOAVE MARCO & C.SAS,Art.11(2),violation of compositional standard (pirimiphos methyl 0.37 ppm detection),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN NOBASHI VANNAMEI SHRIMP,Vietnam,THUAN PHUOC SEAFOODS & TRADING CORP.,,Art.11(2),violation of compositional standard (furazolidone 0.005 ppm detection),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Milled rice,U.S.A.,,SUMITOMO CORPORATION OF AMERICAS,Art.6(ⅰ)　,generation of mold and nasty smell,fukuoka,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-12-27
Frozen food served without heating：FROZEN STEAMED SWEET POTATE RANDOM CUT,Vietnam,VEGETIGI (TIEN GIANG VEGETABLES AND FRUITS JOINT-STOCK COMPANY),,Art.11(2),"violation of compositional standard (live bacteria count 2.3 ×10⁵ /g, coliform bacteria positive)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-27
Heated meat products (heat-pasteurized before packed in container-packages)：PORK & BEEF CHEESE KRANSKY SAUSAGE ,Australia,TOP CUT FOODS PTY LTD.,,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.087 g/kg detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-27
Frozen fresh fish and shellfish for raw comsumption：FROZEN SKIPJACK LOIN,Indonesia,PT.KARYA CIPTA BUANA SENTOSA,,Art.11(2),violation of compositional standard (live bacteria count 2.2 ×10⁵ /g、coliform bacteria positive),shimizu,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-27
Frozen food served without heating：FROZEN YELLOWFIN NEGITORO,Indonesia,PT.KARYA CIPTA BUANA SENTOSA,,Art.11(2),violation of compositional standard (coliform bacteria positive),shimizu,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-12-27
SALTED & SEASONED SQUID,Korea,"HANSUNG FISHERY CO.,LTD.",,Art.11(2),violation of standard of use (polysorbate80 0.063 g/kg  detection),shimonoseki,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-12-27
DRIED FIGS NATURAL,Turkey,ISIK TARIM URUNLERI SAN. VE TIC. A. S.,,Art.6(ⅱ),"aflatoxin (mycotoxin)  182 μg/kg　（B1:155.2 , B2:26.9) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-12-27
Chilled chiken（COQUELET JAUNE),France,LES FERMIERS LANDAIS,,Art.11(2),violation of compositional standard (nicarbazin 0.4 ppm detection),tokyo airport,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2017-12-27
Frozen fresh fish and shellfish for raw comsumption：FROZEN ATLANTIC SALMON HARASU ABURI CUT-OFF,Vietnam,"HAI NAM CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-04
Candy：RED MINI HEART WITH CONFETTI LOLLIPOP,U.S.A.,MELVILLE CANDY CORPORATION,,Art.11(2),violation of standard of use (propyleneglycol 0.75%  detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Corn,U.S.A.,,ZEN-NOH GRAIN CORPORATION,Art.6(ⅱ),aflatoxin (mycotoxin)  16 μg/kg　（B1:16.0) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-04
Container packing filling pressurization heating sterilization food：POO PAD PONG CURRY,Thailand,"OCTA FOODS COMPANY., LTD.",,Art.11(2),violation of compositional standard (live bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Powdered drink beverages： INSTANT MASALA CHAI ,India,PEKOE TIPS TEA,,Art.11(2),violation of compositional standard (live bacteria count 7.1×10⁴ /g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Powdered drink beverages： INSTANT MASALA CHAI,India,PEKOE TIPS TEA,,Art.11(2),violation of compositional standard (live bacteria count 7.8×10⁴ /g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Container packing filling pressurization heating sterilization food：BOILED POTATO,China,"QINGDAO WELL DONE IMP&EXP CO.,LTD.",,Art.11(2),violation of standard of manufacture(lack of sterilization）,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-04
Frozen food served after heating(other than those heated immediately before freezing)：PEELED SHRIMP,Vietnam,CAFATEX CORP.,,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-04
Implements (melamine)：BABY TABLEWARE(CUP),China,"NANJING AJMIAN PRODUCTS CO.,LTD",,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （4% acetic acid) 42 μg/ml）,yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
BEURRE DE CAVIAR,France,SAS HUSO,,Art.11(2),"violation of standard of use (potassium sorbate (as sorbic acid)  0.697 /kg detection, use of  potassium sorbate in other than target food)",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Frozen food served after heating(those heated immediately before freezing)：FROZEN VEGETABLE TEMPURA,China,"DANDONG TAIHONG FOODSTUFF CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count 1.9×10⁷ /g),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Peanuts,China,,"QINGDAO STAR SIGN GROUP CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) 14 μg/kg　（B1:6.4, G1:7.7)μg/kgdetected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-04
DRIED BEAN STICK,China,GUIPING SHEPO TIANTIAN FOODSTUFF CO.,,Art.11(2),violation of standard of use (sodium sulfite (as SO2 ) 0.033 g/kg detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Chocolate：WHITE CHOCOLATE SPRINKLES,Belgium,CHOC-O-LAIT BVBA,,Art.10,undesignated additive(patent blue　detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Chocolate：MILK CHOCOLATE SPRINKLES,Belgium,CHOC-O-LAIT BVBA,,Art.10,undesignated additive(patent blue　detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Chocolate：DARK CHOCOLATE SPRINKLES,Belgium,CHOC-O-LAIT BVBA,,Art.10,undesignated additive(patent blue　detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
Container-packages(polyvinyl chloride)：CALAGE,France,CHAPON CHOCOLATIER FABRIQUE DE CACAO,,Art.18(2),non-conformity with  standard for materials (Dibutyltin 791μg/g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-04
FROZEN GUTTED SHIROSABA FUGU,China,,"XIAMEN YIYUEYUAN FOODSTUFF CO.,LTD",Art.6(ⅱ),unfinished disposal of offal,shimonoseki,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-12
Corn,U.S.A.,,ITOCHU INTERNATIONAL INC.,Art.6(ⅰ)　,"generation of mold, nasty smell, decay and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-12
Processed fruit products：SPICY MANGO CHATNEY,India,CHORDIA FOOD PRODUCTS LTD.,,Art.11(2),violation of standard of use (use of Sodium benzoate in other than target food),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-12
Wheat,Canada,,"MITSUI & CO. (CANADA), LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-12
Rape seed,Canada,,"MITSUI & CO. (CANADA), LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-12
Drink beverages：NUTRIFIIMOA,U.S.A.,CELEBRUS LLC DBA ARIIX,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.76 g/kg detection),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-12
Peanuts,China,,"RONGCHENG HONGTIAN TRADING CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) 43 μg/kg
（B1:6.1 , G1:29.7 , G2:7.4) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-12
Chocolate：PEANUTS CHOCOLATE,Thailand,"FLOWER FOOD LTD.,PART.",,Art.6(ⅱ),"aflatoxin (mycotoxin) 214 μg/kg
（B1:196.3 , B2:17.6) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-12
Frozen food served after heating(those heated immediately before freezing)：STICKT RICE CAKE FRIED TOFU BAG,China,"DALIAN MUYI FOODS CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count 4.2 ×10⁵ /g、coliform bacteria positive),moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
ROASTED PEANUTS WITH SKIN,China,"YANTAI FENGLIN FOODSTUFF CO.,LTD.",,Art.6(ⅱ),"aflatoxin (mycotoxin) 30 μg/kg
（B1:26.1 , B2:4.0) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Milled rice,U.S.A.,,"ADM RICE, INC.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",kobe,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
PEANUT SAUCE,Malaysia,BGR FOODSERVICE SDN BHD,,Art.6(ⅱ),"aflatoxin (mycotoxin) 22 μg/kg　（B1:18.5, B2:3.0) detected",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Milled rice,Thailand,,"THAI HUA (2511) CO.,LTD.",Art.6(ⅰ)　,"nasty smell , generation of mold and　deterioration ",otaru,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Frozen fresh fish and shellfish for raw consumption：ATLANTIC SALMON FILLET,Norway,SMP MARINE PRODUKTER AS,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
Frozen fresh fish and shellfish for raw consumption：FROZEN YARI-IKA,Vietnam,SAIGON FOOD JOINT STOCK COMPANY,,Art.11(2),violation of compositional standard (coliform bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
Chocolate：SALTED CARAMEL,Singapore,JWO HOLDINGS PTE LTD,,Art.10,undesignated additive (azorubine detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Wheat,U.S.A.,,SUMITOMO CORPORATION OF AMERICAS,Art.6(ⅰ)　,"generation of mold, nasty smell, decay and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Frozen food served without heating：FROZEN TARAKO,China,"WEIHAI WEIDAO FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (NO²- 0.0057 g/kg detection),tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Fresh cacao beans,Venezuela,,AGROPAMPATAR,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.03 ppm detection）",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
Fresh cacao beans,Venezuela,,AGROPAMPATAR,"Art.11(2), Art.11(3)","violation of compositional standard (cypermethrin 0.39 ppm detection), detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.06 ppm detection）",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
Frozen food served without heating：STIR FRIED LOOFAH,Taiwan,"BOS'N INTERNATIONAL CO.,LTD",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Brown Rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ)　,"generation of mold, decay, nasty smell and deterioration",osaka,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Boiled Crab：CANNED LEG MEAT,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.14 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：CANNED LEG MEAT WITH MEAT,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.75 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：CANNED MEAT,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.090 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：LEG MEAT CRISTAL JAR,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.086 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：LEG MEAT CRISTAL JAR,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.51 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：LEG MEAT CRISTAL JAR,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.37 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Boiled Crab：LEG & MEAT CRISTAL JAR,Spain,"ARIMPEX PROMOQUALITA, S.L.",,Art.11(2),violation of standard of use (sodium pyrosulfite(as SO₂) 0.29 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
PANI PURI,India,HALDIRAM FOODS INTERNATIONAL PVT.LTD.,,Art.10,undesignated additive (TBHQ 11 μg/g detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Dried fig,U.S.A.,VALLEY  FIG GROWERS,,Art.6(ⅱ),"aflatoxin (mycotoxin) ①19μg/kg　②65μg/kg　（①B1:4.0 , G1:13.5 , G2:1.3 ②B1:7.1 , B2:1.3 , G1:48.7 , G2:7.8 ) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN SAURY BUTTERFLY CUT TATSUTA,Vietnam,INVESTMENT COMMERCE FISHERIES CORPORATION,,Art.11(2),violation of compositional standard (E.coli positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN MACKEREL FILLET CUT TATSUTA,Vietnam,INVESTMENT COMMERCE FISHERIES CORPORATION,,Art.11(2),violation of compositional standard (E.coli positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Almonds,U.S.A.,,MONTPELIER NUT CO.,Art.6(ⅱ),aflatoxin (mycotoxin) 25 μg/kg　（B1:25.4 ) detected,yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Soy beans,Canada,,MARUBENI AMERICA CORPORATION,Art.6(ⅰ)　,"generation of mold, decay, nasty smell and deterioration",kobe,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Corn,U.S.A.,,"MITSUI & CO. (U.S.A.), INC.",Art.6(ⅱ),aflatoxin (mycotoxin) 15 μg/kg　（B1:14.8 ) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Dried fig,Turkey,K.F.C. GIDA TEKSTIL SANAYI ITH IHR. YAT. A.S.,,Art.6(ⅱ),"aflatoxin (mycotoxin) 18 μg/kg　（B1:3.5, G1:13.3 ,G2:1.1 ) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
DRIED CHILLI,China,"SHANDONG JINGRONG FOODSTUFF CO.,LTD.",,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（BHC 0.08 ppm detection）",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
PRESERVED FIG,China,"YANTAI KANGLEDA FOOD CO.,LTD.",,Art.11(2),violation of standard of use (SO₂ 2.0 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
